"","Candidate.Name","Party.Name","EVM.Votes","Postal.Votes","Total.Votes","Percent.of.Votes","Constituency.ID","Constituency.Name","State.ID","State.Name"
"32","KISHORE CHANDRA DEO","Telugu Desam","336163","1938","338101","31.46",1,"Aruku","S01","Andhra Pradesh"
"42","Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY","Bharatiya Janata Party","17578","289","17867","1.66",1,"Aruku","S01","Andhra Pradesh"
"52","GODDETI. MADHAVI","Yuvajana Sramika Rythu Congress Party","557561","4629","562190","52.32",1,"Aruku","S01","Andhra Pradesh"
"62","SHRUTI DEVI VYRICHERLA","Indian National Congress","17656","74","17730","1.65",1,"Aruku","S01","Andhra Pradesh"
"72","GANGULAIAH VAMPURU.","Janasena Party","42245","549","42794","3.98",1,"Aruku","S01","Andhra Pradesh"
"82","SWAMULA. SUBRAHMANYAM","Jana Jagruti Party","4705","5","4710","0.44",1,"Aruku","S01","Andhra Pradesh"
"92","ANUMULA VAMSIKRISHNA","Independent","10211","29","10240","0.95",1,"Aruku","S01","Andhra Pradesh"
"102","KANGALA BALUDORA","Independent","13810","16","13826","1.29",1,"Aruku","S01","Andhra Pradesh"
"112","NARAVA SATYAVATHI","Independent","11231","5","11236","1.05",1,"Aruku","S01","Andhra Pradesh"
"122","BIDDIKA RAMAYYA.","Independent","7863","4","7867","0.73",1,"Aruku","S01","Andhra Pradesh"
"132","NOTA","None of the Above","47955","22","47977","4.46",1,"Aruku","S01","Andhra Pradesh"
"33","KOTAGIRI SRIDHAR","Yuvajana Sramika Rythu Congress Party","672834","3975","676809","50.97",10,"Eluru","S01","Andhra Pradesh"
"43","CHINNAM RAMA KOTAYYA","Bharatiya Janata Party","8317","95","8412","0.63",10,"Eluru","S01","Andhra Pradesh"
"53","JETTI GURUNADHA RAO","Indian National Congress","20284","94","20378","1.53",10,"Eluru","S01","Andhra Pradesh"
"63","MAGANTTI VENKATESWARA RAO BABU","Telugu Desam","509549","1335","510884","38.47",10,"Eluru","S01","Andhra Pradesh"
"73","CHINA VENKATA SURYANARAYANA JOSYULA","Pyramid Party of India","2932","3","2935","0.22",10,"Eluru","S01","Andhra Pradesh"
"83","PENTAPATI PULLARAO","Janasena Party","76481","346","76827","5.79",10,"Eluru","S01","Andhra Pradesh"
"93","MATHE. BOBBY","Republican Party of India (A)","1871","8","1879","0.14",10,"Eluru","S01","Andhra Pradesh"
"103","V. SIVA RAMA KRISHNA","Jana Jagruti Party","1261","0","1261","0.09",10,"Eluru","S01","Andhra Pradesh"
"113","ALAGA. RAVI KUMAR","Independent","1648","0","1648","0.12",10,"Eluru","S01","Andhra Pradesh"
"123","Dr.MENDEM. SANTHOSH KUMAR(PEDDABABU)","Independent","3010","0","3010","0.23",10,"Eluru","S01","Andhra Pradesh"
"133","NOTA","None of the Above","23861","19","23880","1.8",10,"Eluru","S01","Andhra Pradesh"
"34","KONAKALLA NARAYANA RAO","Telugu Desam","508570","2725","511295","41.18",11,"Machilipatnam","S01","Andhra Pradesh"
"44","GUDIVAKA RAMANJANEYULU","Bharatiya Janata Party","6355","107","6462","0.52",11,"Machilipatnam","S01","Andhra Pradesh"
"54","GOLLU KRISHNA","Indian National Congress","12207","77","12284","0.99",11,"Machilipatnam","S01","Andhra Pradesh"
"64","BALASHOWRY VALLABHANENI","Yuvajana Sramika Rythu Congress Party","566178","5258","571436","46.02",11,"Machilipatnam","S01","Andhra Pradesh"
"74","PERAM SIVA NAGESWARA RAO","Republican Party of India (A)","3620","2","3622","0.29",11,"Machilipatnam","S01","Andhra Pradesh"
"84","BANDREDDI RAMAKRISHNA","Janasena Party","112416","876","113292","9.12",11,"Machilipatnam","S01","Andhra Pradesh"
"94","YARLAGADDA RAMA MOHANA RAO","Bahujan Maha Party","1016","1","1017","0.08",11,"Machilipatnam","S01","Andhra Pradesh"
"104","VALLURU VENKATESWARA RAO","Pyramid Party of India","824","2","826","0.07",11,"Machilipatnam","S01","Andhra Pradesh"
"114","GANDHI DHANEKULA","Independent","846","0","846","0.07",11,"Machilipatnam","S01","Andhra Pradesh"
"124","NADAKUDITI NAGA GAYATHRI","Independent","771","2","773","0.06",11,"Machilipatnam","S01","Andhra Pradesh"
"134","GUDIVAKA VENKATA NAGA BASAVA RAO","Independent","895","1","896","0.07",11,"Machilipatnam","S01","Andhra Pradesh"
"141","VIJAYA LAKSHMI CHALAPAKA","Independent","4766","13","4779","0.38",11,"Machilipatnam","S01","Andhra Pradesh"
"151","NOTA","None of the Above","14043","34","14077","1.13",11,"Machilipatnam","S01","Andhra Pradesh"
"35","KILARU DILEEP","Bharatiya Janata Party","18411","93","18504","1.45",12,"Vijayawada","S01","Andhra Pradesh"
"45","KESINENI SRINIVAS (NANI)","Telugu Desam","573929","1569","575498","45.04",12,"Vijayawada","S01","Andhra Pradesh"
"55","NARAHARISETTY. NARASIMHARAO.","Indian National Congress","16204","57","16261","1.27",12,"Vijayawada","S01","Andhra Pradesh"
"65","POTLURI.V.PRASAD ( P V P )","Yuvajana Sramika Rythu Congress Party","564174","2598","566772","44.36",12,"Vijayawada","S01","Andhra Pradesh"
"75","ANDUKURI VIJAYA BHASKAR","India Praja Bandhu Party","2457","0","2457","0.19",12,"Vijayawada","S01","Andhra Pradesh"
"85","DATLA LURDU MARY","Mundadugu Praja Party","433","1","434","0.03",12,"Vijayawada","S01","Andhra Pradesh"
"95","PADALA SIVA PRASAD","Navarang Congress Party","480","0","480","0.04",12,"Vijayawada","S01","Andhra Pradesh"
"105","Muttamsetty Prasad babu","Janasena Party","81416","234","81650","6.39",12,"Vijayawada","S01","Andhra Pradesh"
"115","SEKHAR","Pyramid Party of India","683","2","685","0.05",12,"Vijayawada","S01","Andhra Pradesh"
"125","Sk. Riyaz","Indian Union Muslim League","412","0","412","0.03",12,"Vijayawada","S01","Andhra Pradesh"
"135","ANIL KUMAR MADDINENI","Independent","1049","0","1049","0.08",12,"Vijayawada","S01","Andhra Pradesh"
"142","DHANEKULA GANDHI","Independent","687","1","688","0.05",12,"Vijayawada","S01","Andhra Pradesh"
"152","NANDINI NALLAGHATLA","Independent","951","2","953","0.07",12,"Vijayawada","S01","Andhra Pradesh"
"161","BOLISETTY HARI BABU","Independent","1739","0","1739","0.14",12,"Vijayawada","S01","Andhra Pradesh"
"171","MOHAMMAD ISHAQ","Independent","1218","0","1218","0.1",12,"Vijayawada","S01","Andhra Pradesh"
"181","NOTA","None of the Above","8889","22","8911","0.7",12,"Vijayawada","S01","Andhra Pradesh"
"36","Jayadev Galla","Telugu Desam","586292","1626","587918","43.5",13,"Guntur","S01","Andhra Pradesh"
"46","Jayaprakash Narayana Valluru","Bharatiya Janata Party","11667","174","11841","0.88",13,"Guntur","S01","Andhra Pradesh"
"56","Modugula Venugopala Reddy","Yuvajana Sramika Rythu Congress Party","580840","2873","583713","43.19",13,"Guntur","S01","Andhra Pradesh"
"66","Shaik Mastanvali","Indian National Congress","14124","81","14205","1.05",13,"Guntur","S01","Andhra Pradesh"
"76","Araveti Hazarath Rao","Pyramid Party of India","808","2","810","0.06",13,"Guntur","S01","Andhra Pradesh"
"86","Ullagi David Jayakumar","Hardam Manavtawadi Rashtriya Dal","447","0","447","0.03",13,"Guntur","S01","Andhra Pradesh"
"96","Jeldi Raja Mohan","All India Praja Party","437","0","437","0.03",13,"Guntur","S01","Andhra Pradesh"
"106","Nagaraju Ekula","Republican Party of India (A)","920","0","920","0.07",13,"Guntur","S01","Andhra Pradesh"
"116","Bonaboyina Srinivasa Rao","Janasena Party","128746","459","129205","9.56",13,"Guntur","S01","Andhra Pradesh"
"126","Mannava Hariprasad","Communist Party of India (Marxist-Leninist) Red Star","3212","4","3216","0.24",13,"Guntur","S01","Andhra Pradesh"
"136","Ramarao Simhadri","Praja Shanthi Party","1744","2","1746","0.13",13,"Guntur","S01","Andhra Pradesh"
"143","Jacob Vidyasagar Nakka","Viduthalai Chiruthaigal Katchi","639","2","641","0.05",13,"Guntur","S01","Andhra Pradesh"
"153","Sarabandi Raju Sikhinam","Indian Labour Party (Ambedkar Phule)","1015","2","1017","0.08",13,"Guntur","S01","Andhra Pradesh"
"162","Shaik Jaleel","Navarang Congress Party","560","3","563","0.04",13,"Guntur","S01","Andhra Pradesh"
"172","Samudrala Chinna Kotaiah","National Dalitha Dhal Party","628","0","628","0.05",13,"Guntur","S01","Andhra Pradesh"
"182","Umar Basha Shaik","Independent","2676","0","2676","0.2",13,"Guntur","S01","Andhra Pradesh"
"19","Dasari Kiran Babu","Independent","2907","2","2909","0.22",13,"Guntur","S01","Andhra Pradesh"
"20","Doppalapudi Veera Das","Independent","629","0","629","0.05",13,"Guntur","S01","Andhra Pradesh"
"21","Yanamadala Venkata Suresh","Independent","1947","0","1947","0.14",13,"Guntur","S01","Andhra Pradesh"
"22","NOTA","None of the Above","5972","34","6006","0.44",13,"Guntur","S01","Andhra Pradesh"
"37","KANNA LAKSHMI NARAYANA","Bharatiya Janata Party","15237","231","15468","1.08",14,"Narasaraopet","S01","Andhra Pradesh"
"47","PAKKALA SURIBABU","Indian National Congress","10976","56","11032","0.77",14,"Narasaraopet","S01","Andhra Pradesh"
"57","RAYAPATI SAMBASIVARAO","Telugu Desam","588900","2211","591111","41.12",14,"Narasaraopet","S01","Andhra Pradesh"
"67","LAVU SRI KRISHNA DEVARAYALU","Yuvajana Sramika Rythu Congress Party","740041","5048","745089","51.83",14,"Narasaraopet","S01","Andhra Pradesh"
"77","ALLU VENKATAREDDY","Pyramid Party of India","2892","4","2896","0.2",14,"Narasaraopet","S01","Andhra Pradesh"
"87","KANAKAM SRINIVASARAO","National Nava Kranthi Party","1065","4","1069","0.07",14,"Narasaraopet","S01","Andhra Pradesh"
"97","NAYUB KAMAL SHAIK","Janasena Party","50518","295","50813","3.53",14,"Narasaraopet","S01","Andhra Pradesh"
"107","SURABHI DEVASAHAYAM","Indian Union Muslim League","423","0","423","0.03",14,"Narasaraopet","S01","Andhra Pradesh"
"117","KANTE SAYANNA","Independent","365","1","366","0.03",14,"Narasaraopet","S01","Andhra Pradesh"
"127","GADDALA VENU","Independent","623","3","626","0.04",14,"Narasaraopet","S01","Andhra Pradesh"
"137","DURGAMPUDI RAMIREDDY","Independent","2683","1","2684","0.19",14,"Narasaraopet","S01","Andhra Pradesh"
"144","PARIMI NARASIMHA RAO","Independent","999","2","1001","0.07",14,"Narasaraopet","S01","Andhra Pradesh"
"154","REDDYBOINA PRASANNA KUMAR","Independent","1394","1","1395","0.1",14,"Narasaraopet","S01","Andhra Pradesh"
"163","NOTA","None of the Above","13664","38","13702","0.95",14,"Narasaraopet","S01","Andhra Pradesh"
"38","CHALLAGALI KISHORE KUMAR","Bharatiya Janata Party","9842","509","10351","0.82",15,"Bapatla","S01","Andhra Pradesh"
"48","K. DEVANAND","Bahujan Samaj Party","42262","318","42580","3.36",15,"Bapatla","S01","Andhra Pradesh"
"58","NANDIGAM SURESH","Yuvajana Sramika Rythu Congress Party","592250","6007","598257","47.24",15,"Bapatla","S01","Andhra Pradesh"
"68","MALYADRI SRIRAM","Telugu Desam","577403","4789","582192","45.97",15,"Bapatla","S01","Andhra Pradesh"
"78","J.D. SEELAM","Indian National Congress","12941","214","13155","1.04",15,"Bapatla","S01","Andhra Pradesh"
"88","KUMAR KATTEPOGU","Pyramid Party of India","877","8","885","0.07",15,"Bapatla","S01","Andhra Pradesh"
"98","GADDE HARI BABU","Navodayam Party","521","9","530","0.04",15,"Bapatla","S01","Andhra Pradesh"
"108","CHINA NAGESWARA RAO SADHU","Mundadugu Praja Party","463","3","466","0.04",15,"Bapatla","S01","Andhra Pradesh"
"118","THUMATI RAVI","All Peoples Party","368","2","370","0.03",15,"Bapatla","S01","Andhra Pradesh"
"128","NUTHAKKI RAMA RAO","All India Praja Party","600","6","606","0.05",15,"Bapatla","S01","Andhra Pradesh"
"138","GELLA NAGAMALLI","Independent","651","4","655","0.05",15,"Bapatla","S01","Andhra Pradesh"
"145","GOLLA BABURAO","Independent","1271","5","1276","0.1",15,"Bapatla","S01","Andhra Pradesh"
"155","BUSSA NAGARAJU","Independent","1943","8","1951","0.15",15,"Bapatla","S01","Andhra Pradesh"
"164","NOTA","None of the Above","13178","40","13218","1.04",15,"Bapatla","S01","Andhra Pradesh"
"39","THOGANTI SREENIVASULU","Bharatiya Janata Party","7587","642","8229","0.61",16,"Ongole","S01","Andhra Pradesh"
"49","MAGUNTA SREENIVASULU REDDY","Yuvajana Sramika Rythu Congress Party","729344","9858","739202","55.07",16,"Ongole","S01","Andhra Pradesh"
"59","SIDDA RAGHAVA RAO","Telugu Desam","516287","8064","524351","39.06",16,"Ongole","S01","Andhra Pradesh"
"69","DR SIRIVELLA PRASAD","Indian National Congress","8001","138","8139","0.61",16,"Ongole","S01","Andhra Pradesh"
"79","KONDA PRAVEEN KUMAR","Navodayam Party","805","6","811","0.06",16,"Ongole","S01","Andhra Pradesh"
"89","BELLAMKONDA SAIBABU","Janasena Party","29054","325","29379","2.19",16,"Ongole","S01","Andhra Pradesh"
"99","MARAM SRINIVASA REDDY","Praja Shanthi Party","3253","5","3258","0.24",16,"Ongole","S01","Andhra Pradesh"
"109","VENKATESAN BABURAO","India Praja Bandhu Party","1068","5","1073","0.08",16,"Ongole","S01","Andhra Pradesh"
"119","KAVURI VENU BABU NAIDU","Independent","564","1","565","0.04",16,"Ongole","S01","Andhra Pradesh"
"129","BILLA CHENNAIAH","Independent","671","2","673","0.05",16,"Ongole","S01","Andhra Pradesh"
"139","MADHU YATTAPU","Independent","1160","0","1160","0.09",16,"Ongole","S01","Andhra Pradesh"
"146","MOHAN AYYAPPA","Independent","1451","0","1451","0.11",16,"Ongole","S01","Andhra Pradesh"
"156","VENKATESH VEPURI","Independent","3208","4","3212","0.24",16,"Ongole","S01","Andhra Pradesh"
"165","NOTA","None of the Above","20843","22","20865","1.55",16,"Ongole","S01","Andhra Pradesh"
"310","ADINARAYANA INTY","Bharatiya Janata Party","8794","272","9066","0.7",17,"Nandyal","S01","Andhra Pradesh"
"410","JANGITE LAKSHMI NARASIMHA YADAV","Indian National Congress","14313","107","14420","1.11",17,"Nandyal","S01","Andhra Pradesh"
"510","POCHA . BRAHMANANDA REDDY","Yuvajana Sramika Rythu Congress Party","715024","5864","720888","55.49",17,"Nandyal","S01","Andhra Pradesh"
"610","MANDRA SIVANANDA REDDY","Telugu Desam","466869","3900","470769","36.24",17,"Nandyal","S01","Andhra Pradesh"
"710","D. P. JAMAL BASHA.","Anna YSR Congress Party","3981","108","4089","0.31",17,"Nandyal","S01","Andhra Pradesh"
"810","PULA. NAGAMADDILETY","Ambedkar National Congress","931","6","937","0.07",17,"Nandyal","S01","Andhra Pradesh"
"910","D. MAHAMMAD RAFI .","B. C. United Front","645","4","649","0.05",17,"Nandyal","S01","Andhra Pradesh"
"1010","RUDDIREDDY RADHAKRISHNA","All India Forward Bloc","667","6","673","0.05",17,"Nandyal","S01","Andhra Pradesh"
"1110","S.P.Y. REDDY","Janasena Party","38568","303","38871","2.99",17,"Nandyal","S01","Andhra Pradesh"
"1210","S. A. INDUMATHI","Independent","842","5","847","0.07",17,"Nandyal","S01","Andhra Pradesh"
"1310","ELLURI. BHUPAL.","Independent","667","1","668","0.05",17,"Nandyal","S01","Andhra Pradesh"
"147","K.P. KAMBAGIRISWAMY.","Independent","765","2","767","0.06",17,"Nandyal","S01","Andhra Pradesh"
"157","JESTADI SUDHAKAR","Independent","4542","0","4542","0.35",17,"Nandyal","S01","Andhra Pradesh"
"166","I.V. PAKKIR REDDY","Independent","3103","0","3103","0.24",17,"Nandyal","S01","Andhra Pradesh"
"173","POLURU GURUVAIAH.","Independent","6099","0","6099","0.47",17,"Nandyal","S01","Andhra Pradesh"
"183","BHUMA KISHOR REDDY","Independent","4848","4","4852","0.37",17,"Nandyal","S01","Andhra Pradesh"
"191","B.C. RAMANATHA REDDY","Independent","2543","0","2543","0.2",17,"Nandyal","S01","Andhra Pradesh"
"201","Dr. LAKSHMI KANTHA REDDY CHITLA","Independent","1428","1","1429","0.11",17,"Nandyal","S01","Andhra Pradesh"
"211","VANGALA PARAMESWARA REDDY.","Independent","2380","2","2382","0.18",17,"Nandyal","S01","Andhra Pradesh"
"221","C. SURENDRA NATH REDDY","Independent","1708","0","1708","0.13",17,"Nandyal","S01","Andhra Pradesh"
"23","NOTA","None of the Above","9759","32","9791","0.75",17,"Nandyal","S01","Andhra Pradesh"
"311","AHMED ALI KHAN","Indian National Congress","36169","89","36258","3.07",18,"Kurnool","S01","Andhra Pradesh"
"411","KOTLA JAYA SURYA PRAKASH REDDY","Telugu Desam","450341","3324","453665","38.38",18,"Kurnool","S01","Andhra Pradesh"
"511","Dr. PARTHASARATHI VALMIKI","Bharatiya Janata Party","24089","241","24330","2.06",18,"Kurnool","S01","Andhra Pradesh"
"611","K. PRABHAKARA REDDY","Communist Party of India  (Marxist)","18818","101","18919","1.6",18,"Kurnool","S01","Andhra Pradesh"
"711","AYUSHMAN DOCTOR SANJEEV KUMAR","Yuvajana Sramika Rythu Congress Party","600190","2364","602554","50.98",18,"Kurnool","S01","Andhra Pradesh"
"811","ABDUL WARIS","SOCIAL DEMOCRATIC PARTY OF INDIA","7261","4","7265","0.61",18,"Kurnool","S01","Andhra Pradesh"
"911","KASULA RAJASEKHAR","Pyramid Party of India","1223","3","1226","0.1",18,"Kurnool","S01","Andhra Pradesh"
"1011","DANDU SESHU YADAV","Samajwadi Party","3264","2","3266","0.28",18,"Kurnool","S01","Andhra Pradesh"
"1111","M. NAGANNA","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","1283","2","1285","0.11",18,"Kurnool","S01","Andhra Pradesh"
"1211","S.MD. SHAFATH","Rayalaseema Rashtra Samithi","1220","1","1221","0.1",18,"Kurnool","S01","Andhra Pradesh"
"1311","G Sanjeeva Kumar","Samajwadi Forward Bloc","2095","2","2097","0.18",18,"Kurnool","S01","Andhra Pradesh"
"148","HATCHOLI THOMAS","Independent","1489","7","1496","0.13",18,"Kurnool","S01","Andhra Pradesh"
"158","DEVARAPOGU MADDILETY","Independent","1696","1","1697","0.14",18,"Kurnool","S01","Andhra Pradesh"
"167","BALIJA. SHIVA KUMAR","Independent","2741","0","2741","0.23",18,"Kurnool","S01","Andhra Pradesh"
"174","T. BEECHUPALLY","Independent","9771","0","9771","0.83",18,"Kurnool","S01","Andhra Pradesh"
"184","P.V. SRIHARI","Independent","6548","3","6551","0.55",18,"Kurnool","S01","Andhra Pradesh"
"192","NOTA","None of the Above","7643","26","7669","0.65",18,"Kurnool","S01","Andhra Pradesh"
"312","D.JAGADEESH","Communist Party of India","20192","102","20294","1.51",19,"Anantapur","S01","Andhra Pradesh"
"412","TALARI RANGAIAH","Yuvajana Sramika Rythu Congress Party","690901","4307","695208","51.79",19,"Anantapur","S01","Andhra Pradesh"
"512","J.C. PAVAN REDDY","Telugu Desam","550597","3183","553780","41.26",19,"Anantapur","S01","Andhra Pradesh"
"612","K.RAJIV REDDY","Indian National Congress","29994","85","30079","2.24",19,"Anantapur","S01","Andhra Pradesh"
"712","HAMSA DEVINENI","Bharatiya Janata Party","7440","164","7604","0.57",19,"Anantapur","S01","Andhra Pradesh"
"812","GADIDAMA RANGANAYAKULU","Vishwa Jana Party","728","0","728","0.05",19,"Anantapur","S01","Andhra Pradesh"
"912","P.RADHA KRISHNA","Radical Democrats","1219","1","1220","0.09",19,"Anantapur","S01","Andhra Pradesh"
"1012","G. LALITHA","SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST)","890","9","899","0.07",19,"Anantapur","S01","Andhra Pradesh"
"1112","M.VENKATESULU","Pyramid Party of India","1043","5","1048","0.08",19,"Anantapur","S01","Andhra Pradesh"
"1212","S.V.P. YADAV","Independent","4398","0","4398","0.33",19,"Anantapur","S01","Andhra Pradesh"
"1312","P. RANGAIAH","Independent","3580","8","3588","0.27",19,"Anantapur","S01","Andhra Pradesh"
"149","L. RANGAIAH","Independent","1688","3","1691","0.13",19,"Anantapur","S01","Andhra Pradesh"
"159","VADDE KASINATH","Independent","2063","3","2066","0.15",19,"Anantapur","S01","Andhra Pradesh"
"168","SOMANATH DESHMUKH","Independent","3236","1","3237","0.24",19,"Anantapur","S01","Andhra Pradesh"
"175","NOTA","None of the Above","16406","60","16466","1.23",19,"Anantapur","S01","Andhra Pradesh"
"313","KINJARAPU RAM MOHAN NAIDU","Telugu Desam","529213","5331","534544","46.19",2,"Srikakulam","S01","Andhra Pradesh"
"413","DOLA JAGAN","Indian National Congress","13456","289","13745","1.19",2,"Srikakulam","S01","Andhra Pradesh"
"513","DUVVADA SRINIVAS","Yuvajana Sramika Rythu Congress Party","520931","6960","527891","45.61",2,"Srikakulam","S01","Andhra Pradesh"
"613","PERLA SAMBA MURTHY","Bharatiya Janata Party","7357","1033","8390","0.72",2,"Srikakulam","S01","Andhra Pradesh"
"713","MATTA SATISH CHAKRAVARTHY","Pyramid Party of India","1441","7","1448","0.13",2,"Srikakulam","S01","Andhra Pradesh"
"813","METTA RAMARAO","Janasena Party","31319","637","31956","2.76",2,"Srikakulam","S01","Andhra Pradesh"
"913","NAMBALLA KRISHNA MOHAN","Independent","4829","7","4836","0.42",2,"Srikakulam","S01","Andhra Pradesh"
"1013","NAIDUGARI RAJASEKHAR","Independent","5151","5","5156","0.45",2,"Srikakulam","S01","Andhra Pradesh"
"1113","BETHA VIVEKANANDA MAHARAJ","Independent","3814","4","3818","0.33",2,"Srikakulam","S01","Andhra Pradesh"
"1213","NOTA","None of the Above","25500","45","25545","2.21",2,"Srikakulam","S01","Andhra Pradesh"
"314","KAMAGANAHALLI THIPPESWAMY SREEDHAR (K.T.SREEDHAR)","Indian National Congress","26973","183","27156","2.03",20,"Hindupur","S01","Andhra Pradesh"
"414","KURUVA GORANTLA MADHAV","Yuvajana Sramika Rythu Congress Party","699739","6863","706602","52.79",20,"Hindupur","S01","Andhra Pradesh"
"514","KRISTAPPA . NIMMALA","Telugu Desam","561602","4252","565854","42.27",20,"Hindupur","S01","Andhra Pradesh"
"614","MITTA PARTHASARATHI","Bharatiya Janata Party","13530","275","13805","1.03",20,"Hindupur","S01","Andhra Pradesh"
"714","Ram Mohan Singamneni","Pyramid Party of India","1305","8","1313","0.1",20,"Hindupur","S01","Andhra Pradesh"
"814","S.R.Anjaneyulu","Independent","1215","12","1227","0.09",20,"Hindupur","S01","Andhra Pradesh"
"914","GOGULA PULAKUNTA JAYANTH","Independent","1578","4","1582","0.12",20,"Hindupur","S01","Andhra Pradesh"
"1014","Mugi Surya Prakash","Independent","1315","1","1316","0.1",20,"Hindupur","S01","Andhra Pradesh"
"1114","Ramamohan D.G.","Independent","2230","1","2231","0.17",20,"Hindupur","S01","Andhra Pradesh"
"1214","NOTA","None of the Above","17356","72","17428","1.3",20,"Hindupur","S01","Andhra Pradesh"
"315","Y.S.Avinash Reddy","Yuvajana Sramika Rythu Congress Party","778267","5532","783799","63.8",21,"Kadapa","S01","Andhra Pradesh"
"415","Chadipirala Adi Narayana Reddy","Telugu Desam","400192","2631","402823","32.79",21,"Kadapa","S01","Andhra Pradesh"
"515","Gundlakunta Sreeramulu","Indian National Congress","8280","61","8341","0.68",21,"Kadapa","S01","Andhra Pradesh"
"615","Gujjula Eswaraiah","Communist Party of India","6152","90","6242","0.51",21,"Kadapa","S01","Andhra Pradesh"
"715","Sri Rama Chandra Singareddy","Bharatiya Janata Party","3917","168","4085","0.33",21,"Kadapa","S01","Andhra Pradesh"
"815","Ameen Peeran Shaik","Ambedkar National Congress","571","2","573","0.05",21,"Kadapa","S01","Andhra Pradesh"
"915","Lakshmi Reddy Putha","Rajyadhikara Party","365","3","368","0.03",21,"Kadapa","S01","Andhra Pradesh"
"1015","Pedakala Varalakshmi","Pyramid Party of India","705","11","716","0.06",21,"Kadapa","S01","Andhra Pradesh"
"1115","Chadipirala Siva Narayana Reddy","Navarang Congress Party","445","1","446","0.04",21,"Kadapa","S01","Andhra Pradesh"
